osm_type,osm_id,place_id,name,amenity,lat,lon,distance_m,tags
node,5303059306,osm:node:5303059306,Minnow,restaurant,51.4620713,-0.1398745,337.33,"{'addr:city': 'London', 'addr:housenumber': '21', 'addr:postcode': 'SW4 0HY', 'addr:street': 'The Pavement', 'amenity': 'restaurant', 'name': 'Minnow'}"
node,5062546879,osm:node:5062546879,Olives & Meze,restaurant,51.4624816,-0.1355781,337.91,"{'amenity': 'restaurant', 'check_date': '2024-08-07', 'cuisine': 'mediterranean', 'name': 'Olives & Meze'}"
node,12086933890,osm:node:12086933890,Berberé,restaurant,51.4626631,-0.1379578,347.22,"{'addr:housenumber': '67', 'addr:street': 'Venn Street', 'amenity': 'restaurant', 'check_date': '2024-08-01', 'cuisine': 'pizza', 'indoor_seating': 'yes', 'name': 'Berberé', 'opening_hours': 'Mo-Th,Su 12:00-22:00; Fr-Sa 12:00-22:30', 'outdoor_seating': 'yes', 'website': 'https://www.berberepizzeria.co.uk/berbere-clapham-london/'}"
node,11007711280,osm:node:11007711280,Barsito Tapas And wine Bar,restaurant,51.4627602,-0.1380432,358.92,"{'amenity': 'restaurant', 'cuisine': 'spanish', 'indoor_seating': 'yes', 'name': 'Barsito Tapas And wine Bar', 'outdoor_seating': 'yes'}"
node,1111040109,osm:node:1111040109,Maharani,restaurant,51.4626965,-0.1349267,376.19,"{'addr:city': 'London', 'addr:housenumber': '117', 'addr:postcode': 'SW4 7TB', 'addr:street': 'Clapham High Street', 'amenity': 'restaurant', 'cuisine': 'indian', 'fhrs:authority': 'Lambeth', 'fhrs:id': '483952', 'fhrs:inspectiondate': '2014-06-02', 'fhrs:rating': '5', 'name': 'Maharani', 'wheelchair': 'limited'}"
node,12977595257,osm:node:12977595257,Fogo de Chão,restaurant,51.4628815,-0.1353116,385.92,"{'amenity': 'restaurant', 'check_date': '2025-07-04', 'cuisine': 'brazilian', 'name': 'Fogo de Chão'}"
node,10011506919,osm:node:10011506919,,restaurant,51.4630869,-0.1364499,391.32,"{'amenity': 'restaurant', 'cuisine': 'pizza'}"
node,248933563,osm:node:248933563,No. 32 The Old Town,restaurant,51.4631647,-0.1407101,470.63,"{'addr:city': 'London', 'addr:housenumber': '32', 'addr:postcode': 'SW4 0JE', 'addr:street': 'The Pavement', 'amenity': 'restaurant', 'check_date': '2024-08-02', 'fhrs:authority': 'Lambeth', 'fhrs:id': '484590', 'fhrs:inspectiondate': '2013-02-14', 'fhrs:rating': '4', 'indoor_seating': 'yes', 'name': 'No. 32 The Old Town', 'opening_hours': '09:00 - 23:00', 'outdoor_seating': 'yes', 'toilets': 'yes', 'toilets:access': 'customers'}"
node,12093780832,osm:node:12093780832,Lievito madre,restaurant,51.4636023,-0.1345962,478.13,"{'addr:housenumber': '181', 'addr:street': 'Clapham Manor Street', 'amenity': 'restaurant', 'check_date': '2024-08-05', 'cuisine': 'pizza', 'name': 'Lievito madre', 'opening_hours': 'Mo-Th 12:00-22:30; Fr-Sa 12:00-23:00; Su 12:00-21:30', 'payment:cash': 'yes', 'payment:credit_cards': 'yes', 'payment:debit_cards': 'yes', 'phone': '+44 7794 355667', 'website': 'https://lievitomadre.co.uk'}"
node,5449546322,osm:node:5449546322,Sorella,restaurant,51.4638562,-0.135021,495.33,"{'addr:housenumber': '148', 'addr:street': 'Clapham Manor Street', 'amenity': 'restaurant', 'check_date': '2024-08-05', 'cuisine': 'italian', 'name': 'Sorella', 'opening_hours': 'Mo off; Tu-Fr 12:00-22:00; Sa 12:00-14:30,17:00-22:00; Su 12:00-15:00', 'payment:cash': 'yes', 'payment:credit_cards': 'yes', 'payment:debit_cards': 'yes', 'website': 'https://www.sorellarestaurant.co.uk/'}"
